"ID of id","nodeName","ID of typeid","ID of parentid","ID of sourceid"
39505,"COUNT",87,15409,39505
39506,"VOID",15409,15409,39506
39507,"OBJECT",15409,15409,39507
39508,"DOUBLE",15409,15409,39508
39509,"FLOAT",15409,15409,39509
39510,"LONG",15409,15409,39510
39511,"INT",15409,15409,39511
39512,"CHAR",15409,15409,39512
39513,"SHORT",15409,15409,39513
39514,"BYTE",15409,15409,39514
39515,"BOOLEAN",15409,15409,39515
39562,"length",87,39561,39562
39616,"EMPTY_TYPE_VARS",18638,39596,39616
39703,"length",87,39702,39703
39709,"length",87,39708,39709
39776,"length",87,39775,39776
39802,"length",87,39801,39802
40043,"SEP",157,29757,40043
40044,"NUM_CONSTANTS",788,29757,40044
40045,"ROOT",788,29757,40045
40046,"CANADA_FRENCH",788,29757,40046
40047,"CANADA",788,29757,40047
40048,"US",788,29757,40048
40049,"UK",788,29757,40049
40050,"KOREA",788,29757,40050
40051,"JAPAN",788,29757,40051
40052,"ITALY",788,29757,40052
40053,"GERMANY",788,29757,40053
40054,"FRANCE",788,29757,40054
40055,"TRADITIONAL_CHINESE",788,29757,40055
40056,"SIMPLIFIED_CHINESE",788,29757,40056
40057,"CHINESE",788,29757,40057
40058,"KOREAN",788,29757,40058
40059,"JAPANESE",788,29757,40059
40060,"ITALIAN",788,29757,40060
40061,"GERMAN",788,29757,40061
40062,"FRENCH",788,29757,40062
40063,"ENGLISH",788,29757,40063
40064,"constantBaseLocales",40065,29757,40064
40066,"length",87,40065,40066
40209,"PRIVUSE_VARIANT_PREFIX",157,40116,40209
40210,"UNDETERMINED",157,40116,40210
40211,"PRIVATEUSE",157,40116,40211
40212,"SEP",157,40116,40212
40244,"NUMBER_THAI",29755,29755,40244
40245,"CALENDAR_JAPANESE",29755,29755,40245
40262,"errorMsg",157,40205,40262
40263,"errorIndex",87,40205,40263
40264,"parseLength",87,40205,40264
